pre_all,re_all,f1_all,auc_all
0.811122536,0.749997062,0.771731102,0.883465621
0.805579938,0.749435958,0.773813732,0.883062947
0.80562226,0.736977086,0.76751982,0.882855726
0.804524647,0.735376028,0.773513617,0.882575341
0.804813451,0.742967098,0.77847951,0.880500381
0.79652977,0.74189483,0.775677204,0.879577206
0.801958102,0.744603408,0.77371829,0.879193381
0.801628209,0.746753819,0.76847091,0.87872017
0.806509059,0.735937133,0.774874688,0.878028424
0.803112494,0.745155699,0.77483841,0.876436609
,,,
,,0.003282752,0.002438861
